fid,id,Assets_Threats,Name,Ward,Subward,Subward_asset_id,asset_threat_category,Assets_per_ward_id,latitude,longitude,important_asset_at_risk_per_ward_ID,continued_from_asset_at_risk_id,Important_asset_not_at_risk_per_ward_ID,Evacuation_center_per_ward_ID,At_risk_but_not_important_ID
,38,Important asset and not at risk,Masjid Taqwa,  Bonyokwa   ,Msingwa,,,,-6.835602759,39.12436318,,,31,,
,39,Important asset and not at risk,Melissa Pharmacy,  Bonyokwa   ,Msingwa,,,,-6.832567207,39.1333038,,,32,,
,40,Important asset and not at risk,Mnajimu Kuluthum,  Bonyokwa   ,Msingwa,,,,-6.836702716,39.12142102,,,33,,
,41,Important asset and not at risk,Msingwa Subward Office ,  Bonyokwa   ,Msingwa,,,,-6.838954711,39.12941616,,,34,,
,42,Important asset and not at risk,Mt. Rafael (RC) Church ,  Bonyokwa   ,Msingwa,,,,-6.831292212,39.13445349,,,35,,
,43,Important asset and not at risk,P. Mile (Akhawaini) Madrasat,  Bonyokwa   ,Msingwa,,,,-6.831950072,39.13970697,,,36,,
,44,Important asset and not at risk,P. Mile (Akhawaini) Mosque ,  Bonyokwa   ,Msingwa,,,,-6.838484811,39.13259895,,,37,,
,45,Important asset and not at risk,Pentecost Church 1,  Bonyokwa   ,Msingwa,,,,-6.838184075,39.13278691,,,38,,
,46,Important asset and not at risk,Pentecost Church 2,  Bonyokwa   ,Msingwa,,,,-6.834035448,39.1240736,,,39,,
,47,Important asset and not at risk,Seventh Day Adventist Church,  Bonyokwa   ,Msingwa,,,,-6.837184755,39.12379146,,,40,,
,48,Important asset and not at risk,St. Alex Primary School,  Bonyokwa   ,Msingwa,,,,-6.834656695,39.13336646,,,41,,
